"id","name","title","location","state","country","state_abbv","continent","latitude","longitude"
"24","Seattle","Seattle","Seattle","Washington","United States","WA","1","47.6097","-122.3331"
"25","Tallinn","Tallinn","Tallinn","Harju County","Estonia","","3","59.4339","24.7549"
"26","Copenhagen","Copenhagen","Copenhagen","Capital Region","Denmark","","3","55.675","12.5687"
"27","Milan","Milan","Milan","Lombardy","Italy","","3","45.464","9.1916"
"28","Ljubljana","Ljubljana","Ljubljana","","Slovenia","","3","46.0556","14.5083"
"29","Frankfurt","Frankfurt","Frankfurt","Hesse","Germany","HE","3","50.1167","8.6833"
"30","Fremont","Fremont","Fremont","California","United States","CA","1","37.5483","-121.9875"
"31","Singapore","Singapore","Singapore","","Singapore","","3","1.3667","103.75"
"32","Warsaw","Warsaw","Warsaw","Mazovia","Poland","MZ","3","52.23","21.0108"
"33","Mexico","Mexico","Mexico City","Mexico City","Mexico","CMX","1","19.4333","-99.1333"
"34","Kiev","Kiev","Kharkiv","Kharkiv Oblast","Ukraine","","3","50.45","30.5233"
"35","Zurich","Zurich","Zurich","Zurich","Switzerland","ZH","3","47.369","8.538"
"36","Malaysia","Malaysia","Kuala Lumpur","Kuala Lumpur","Malaysia","","3","3.1333","101.6833"
"37","LosAngeles","Los Angeles","Los Angeles","California","United States","CA","1","34.0522","-118.2428"
"38","Phoenix","Phoenix","Phoenix","Arizona","United States","AZ","1","33.41","-112.07"
"39","Houston","Houston","Houston","Texas","United States","TX","1","29.7631","-95.3631"
"40","Baltimore","Baltimore","Baltimore","Maryland","United States","MD","1","39.2833","-76.6167"
"42","CapeTown","Cape Town","Cape Town","Western Cape","South Africa","WC","5","-33.9767","18.4244"
"43","Bruges","Bruges","Oostkamp","West Flanders","Belgium","VWV","3","51.2167","3.233"
"44","Lisbon","Lisbon","Lisbon","Lisbon","Portugal","","3","38.7","-9.1833"
"45","Helsinki","Helsinki","Espoo","Uusimaa","Finland","","3","60.21","24.66"
"46","NewDelhi","New Delhi","New Delhi","Delhi","India","DL","3","28.585","77.2"
"47","Budapest","Budapest","Budapest","Budapest","Hungary","BU","3","47.5","19.05"
"48","Bergen","Bergen","Bergen","Hordaland","Norway","","3","60.38","5.34"
"49","Medellin","Medellin","Medellin","Antioquia","Colombia","ANT","2","6.2457","-75.5822"
"50","BuenosAires","Buenos Aires","Buenos Aires","","Argentina","","2","-34.6036","-58.3817"
"51","SanAntonio","San Antonio","San Antonio","Texas","United States","TX","1","29.4239","-98.4933"
"52","Montreal","Montreal","Laval","Quebec","Canada","QC","1","45.5081","-73.555"
"53","Vancouver","Vancouver","Vancouver","British Columbia","Canada","BC","1","49.2505","-123.1119"
"54","Roubaix","Roubaix","Roubaix","Hauts-de-France","France","HDF","3","50.69","3.1817"
"55","KansasCity","Kansas City","Kansas City","Missouri","United States","MO","1","39.0997","-94.5783"
"56","Hyderabad","Hyderabad","Hyderabad","Telangana","India","TG","3","17.3667","78.4667"
"57","Jakarta","Jakarta","Jakarta","Jakarta","Indonesia","JK","3","-6.1333","106.75"
"58","Valencia","Valencia","Valencia","Valencian Community","Spain","VC","3","39.4767","-0.3744"
"59","Christchurch","Christchurch","Christchurch","Canterbury","New Zealand","CAN","4","-43.5","172.6"
